# navg: 167
# mode: data
# columns: [locked, adc]
03E7FC18 0109E4D9
03E7FC18 0109E4E7
03E7FC18 0109E462
03E7FC18 0109E477
03E7FC18 0109E4D9
03E7FC18 0109E533
03E7FC18 0109E5E3
03E7FC18 0109E5FA
03E7FC18 0109E5EF
03E7FC18 0109E616
03E7FC18 0109E5EA
03E7FC18 0109E5ED
03E7FC18 0109E677
03E7FC18 0109E644
03E7FC18 0109E523
03E7FC18 0109E638
03E7FC18 0109E58C
03E7FC18 0109E4D6
03E7FC18 0109E497
03E7FC18 0109E535
03E7FC18 0109E5C9
03E7FC18 0109E5D6
03E7FC18 0109E6A6
03E7FC18 0109E489
03E7FC18 0109E198
03E7FC18 0109DD56
03E7FC18 0109DECB
03E7FC18 0109E0BC
03E7FC18 0109E271
03E7FC18 0109E324
03E7FC18 0109E3A6
03E7FC18 0109E4E3
03E7FC18 0109E54A
03E7FC18 0109E69D
03E7FC18 0109E516
03E7FC18 0109E54E
03E7FC18 0109E4D5
03E7FC18 0109E400
03E7FC18 0109E53F
03E7FC18 0109E4E3
03E7FC18 0109E50B
03E7FC18 0109E60E
03E7FC18 0109E737
03E7FC18 0109E960
03E7FC18 0109EDE1
03E7FC18 0109EC9C
03E7FC18 0109FACA
03E7FC18 010A03C3
03E7FC18 010A0AA7
03E7FC18 0109F83B
03E7FC18 010A01D9
03E7FC18 010A0370
03E7FC18 0109F3AD
03E7FC18 0109E5AF
03E7FC18 0109E801
03E7FC18 0109F151
03E7FC18 0109F97D
03E7FC18 0109FCB9
03E7FC18 0109FDD1
03E7FC18 010A00A0
03E7FC18 0109FD22
03E7FC18 0109F485
03E7FC18 0109F691
03E7FC18 0109F629
03E7FC18 0109F3C3
03E7FC18 0109F3A1
03E7FC18 0109F23F
03E7FC18 0109F62E
03E7FC18 0109FFEE
03E7FC18 010A07C1
03E7FC18 010A0265
03E7FC18 0109FB2F
03E7FC18 0109F025
03E7FC18 0109EB57
03E7FC18 0109EAB4
03E7FC18 0109ECA1
03E7FC18 0109E738
03E7FC18 0109E889
03E7FC18 0109EAC7
03E7FC18 0109EF33
03E7FC18 0109F3FB
03E7FC18 0109EFF4
03E7FC18 0109EF74
03E7FC18 0109F5B6
03E7FC18 0109FB5B
03E7FC18 010A01C7
03E7FC18 0109FBB6
03E7FC18 0109F217
03E7FC18 0109F1E1
03E7FC18 0109F349
03E7FC18 0109EECB
03E7FC18 0109F3A2
03E7FC18 0109F736
03E7FC18 0109F9AC
03E7FC18 0109FA7F
03E7FC18 0109F5D4
03E7FC18 0109E70D
03E7FC18 0109E1BD
03E7FC18 0109E782
03E7FC18 0109EDA9
03E7FC18 0109F400
03E7FC18 0109F260
03E7FC18 0109EB4F
03E7FC18 0109DB4A
03E7FC18 0109D2A8
03E7FC18 0109D95D
03E7FC18 0109E6C2
03E7FC18 0109E554
03E7FC18 0109E57F
03E7FC18 0109E8A4
03E7FC18 0109E670
03E7FC18 0109EB7E
03E7FC18 0109EC91
03E7FC18 0109EC6B
03E7FC18 0109ECF2
03E7FC18 0109EEB8
03E7FC18 0109F1A7
03E7FC18 0109F2C1
03E7FC18 0109F3DC
03E7FC18 0109F555
03E7FC18 0109F5EB
03E7FC18 0109F576
03E7FC18 0109F690
03E7FC18 0109F850
03E7FC18 0109F957
03E7FC18 0109FBA7
03E7FC18 0109FCDE
03E7FC18 0109FC56
03E7FC18 0109FB82
03E7FC18 0109FB82
03E7FC18 0109FB72
03E7FC18 0109FABA
03E7FC18 0109FA84
03E7FC18 0109F979
03E7FC18 0109F90D
03E7FC18 0109F873
03E7FC18 0109F882
03E7FC18 0109F836
03E7FC18 0109F7BB
03E7FC18 0109F68E
03E7FC18 0109F6F7
03E7FC18 0109F943
03E7FC18 0109F9D9
03E7FC18 0109FA87
03E7FC18 0109FA8C
03E7FC18 0109FA65
03E7FC18 0109F990
03E7FC18 0109F93D
03E7FC18 0109F920
03E7FC18 0109F8FC
03E7FC18 0109F96A
03E7FC18 0109F926
03E7FC18 0109F856
03E7FC18 0109F865
03E7FC18 0109F92C
03E7FC18 0109F8E4
03E7FC18 0109F7EA
03E7FC18 0109F863
03E7FC18 0109F8C1
03E7FC18 0109F8E1
03E7FC18 0109F917
03E7FC18 0109F959
03E7FC18 0109F98C
03E7FC18 0109F9C2
03E7FC18 0109F9D4
03E7FC18 0109F91C
03E7FC18 0109FACF
03E7FC18 0109FB43
03E7FC18 0109FB5C
03E7FC18 0109FB1B
03E7FC18 0109FB5C
03E7FC18 0109FB6E
03E7FC18 0109FB12
03E7FC18 0109FBA3
03E7FC18 0109FC40
03E7FC18 0109FC2D
03E7FC18 0109FC02
03E7FC18 0109FAE4
03E7FC18 0109FB94
03E7FC18 0109FB10
03E7FC18 0109F949
03E7FC18 0109F240
03E7FC18 0109EED4
03E7FC18 0109F0EF
03E7FC18 0109F1FD
03E7FC18 0109F283
03E7FC18 0109F362
03E7FC18 0109F4BD
