first second
0.0 1.
0.0 2.
0.0 3.2
0.0 2.9023694011976047
0.0 2.90236748502994
0.0 2.902360479041916
0.0 2.902357125748503
0.0 2.90235748502994
0.0 2.9023579640718564
0.0 2.902369281437126
0.0 2.902368383233533
0.0 2.902363413173653
0.0 2.9023740718562876
0.0 2.902360479041916
0.0 2.902363413173653
0.0 2.902367125748503
0.0 2.9023622155688624
0.0 2.9023613173652696
0.0 2.9023576047904194
0.0 2.902351616766467
0.0 2.9023577245508982
0.0 2.9023635329341317
0.0 2.902366886227545
0.0 2.9023592215568863
0.0 2.9023594610778445
0.0 2.902355269461078
0.0 2.9023650898203592
0.0 2.9023531736526946
0.0 2.90235622754491
0.0 2.9023410778443113
0.0 2.90234
0.0 2.9023631736526947
0.0 2.902370359281437
0.0 2.902370958083832
0.0 2.9023762275449103
0.0 2.9023725748502995
0.0 2.902372754491018
0.0 2.902372994011976
0.0 2.902380898203593
0.0 2.9023635329341317
0.0 2.902376347305389
0.0 2.9023799401197605
0.0 2.902387964071856
0.0 2.9023854491017964
0.0 2.902378383233533
0.0 2.902392035928144
0.0 2.902377125748503
0.0 2.9023789820359283
0.0 2.9023754491017963
0.0 2.902385149700599
0.0 2.902401137724551
0.0 2.9023816766467068
0.0 2.9023762275449103
0.0 2.902381377245509
0.0 2.902394790419162
0.0 2.9023849101796406
0.0 2.902377604790419
0.0 2.9023785628742513
0.0 2.9023832934131737
0.0 2.9023846706586824
0.0 2.9023808383233534
0.0 2.9023871856287426
0.0 2.9023969461077845
0.0 2.9023958083832335
0.0 2.902404011976048
0.0 2.9024022754491017
0.0 2.9024050299401196
0.0 2.9023989221556885
0.0 2.9023983832335327
0.0 2.9023915568862275
0.0 2.9023847904191618
0.0 2.9023983832335327
0.0 2.902401976047904
0.0 2.902407005988024
0.0 2.9024015568862276
0.0 2.9024060479041918
0.0 2.902397784431138
0.0 2.9023863473053892
0.0 2.902385389221557
0.0 2.902392395209581
0.0 2.902393892215569
0.0 2.9023889221556884
0.0 2.9023911976047905
0.0 2.9024049101796408
0.0 2.902395508982036
0.0 2.9023897005988024
0.0 2.9023790419161677
0.0 2.9023749101796406
0.0 2.902383113772455
0.0 2.902380898203593
0.0 2.9023852694610777
0.0 2.902380239520958
0.0 2.902388143712575
0.0 2.9023950299401196
0.0 2.9023839520958084
0.0 2.9023837724550896
0.0 2.902386886227545
0.0 2.9023914371257487
0.0 2.9023917964071857
0.0 2.9023920958083833
0.0 2.9023886826347307
0.0 2.9023862275449104
0.0 2.9023965868263475
0.0 2.902396766467066
0.0 2.902385748502994
0.0 2.9023884431137725
0.0 2.9023905988023952
0.0 2.9023898203592813
0.0 2.9023917365269463
0.0 2.902399580838323
0.0 2.902392035928144
0.0 2.9024116766467065
0.0 2.9024025748502993
0.0 2.902408263473054
0.0 2.9024111377245507
0.0 2.9024141916167663
0.0 2.9024126946107787
0.0 2.9024192215568863
0.0 2.902412634730539
0.0 2.9024231736526946
0.0 2.902425988023952
0.0 2.9024284431137723
0.0 2.9024159281437125
0.0 2.9024161077844313
0.0 2.9024043113772455
0.0 2.902410239520958
